,nav,cash,SH601969_P,SZ000061_P,SH603369_P,SZ002839_P,SH600673_P,SZ000887_P,SH603198_P,SZ300002_P,SZ000418_P,SH601969_A,SH601880_A,SZ002250_A,SH600155_A,SZ000158_A,SH600240_A,SH600971_A,SZ002745_A,SZ002384_A,SH603169_A,SH600525_A,SZ002147_A,SH600282_A,SZ000988_A,SH601020_A,SZ300308_A,SZ002603_A,SZ000656_A,SH600410_A,SH600060_A,SZ002366_A,SZ300010_A,SH603515_A,SZ002254_A,SH600687_A,SH603056_A,SH600329_A,SH603369_A,SZ002839_A,SH600673_A,SH600270_A,SZ000887_A,SH603198_A,SZ300002_A,SZ000418_A,SZ002093_A,SH600338_A,SZ000061_A,SH600335_A,SZ300134_A,SZ002701_A,SZ002038_A,SZ000932_A,SZ000738_A,SZ002640_A,SH600258_A,SH600694_A,SZ000623_A,SH603877_A,SZ002359_A
2019-01-30,1053445.8209279478,105938.81230116573,358701.0564306598,23275.87299007648,56683.225242892804,118400.00529289269,10418.516816899832,7664.8051226572325,111409.97148021357,230711.2393385069,4131.627699656649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,1049989.6153885617,107000.6072418455,338613.09357677685,23718.719957487207,58545.70442167114,119078.65953506957,10174.843245024489,7665.248912718874,112943.39978291762,231368.83175996286,4131.627699656649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,1071309.8475009408,106757.85225304012,353433.5280862431,24716.949782957316,55752.834056909815,114782.77093624258,10093.345579013505,7804.915965765252,112942.08484488277,230712.96359960944,4131.55260189817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-11,1103780.8404023154,110284.84710837036,335203.80019240367,24605.101988303708,56685.67415242182,117278.06028265531,9849.051386697562,7804.969781543709,114470.3807422696,230689.17107244264,4131.735748317971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-12,1120354.5549109057,108401.54774709491,345638.59167366964,24384.91322581781,56681.76934088991,117293.12084701144,10011.744591730316,7735.333316940025,114489.61941736829,228029.4868726308,4131.664038261819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-13,1130015.9004946698,110459.8819060332,350018.12322134705,24495.166297586267,54830.00120061967,118575.8448351705,10092.817711722268,7664.810216082342,114509.9339246385,225359.12292077276,4131.555993350982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-14,1135486.934812576,114463.93229788293,348505.8199821739,24383.326478320963,54829.454521132706,117936.44710946147,10093.61589978224,7595.793247094772,114470.24881209065,222684.23718877544,4131.663069224052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-15,1127029.1439000824,111521.15105223445,348457.2064862529,24385.356263265487,55756.94898282972,119156.45133394028,10256.013097085875,7595.657584357681,112920.09997190221,221989.4355227449,4131.719274165914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-18,1158343.4337580265,114769.43052762702,352942.0365275552,23941.823226922766,55758.62832504842,119054.94016924319,10337.584563001,7317.152483708856,114516.1656794582,220643.66396053627,4131.627699656649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-19,1157354.5628585499,117314.54286022241,355925.6020942812,23498.066466901455,55756.29657601026,117872.2313901083,10419.196191828785,7386.215619686077,114489.97575011587,216638.58729056898,4131.663069224052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-20,1150621.1031011199,116934.10988916992,357396.4548961614,23496.976720434206,56681.88706603535,115375.42758207796,10500.203885111729,7456.2771906287835,114466.95065644881,213964.03683019156,4131.663069224052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-21,1141366.9781120361,112697.99452368115,350029.7549485925,23496.92549552357,57615.936798949195,115963.24968558448,10499.94000618859,7526.362790808957,117597.85522244227,213989.9203253907,4131.716366976247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-22,1169068.3511963875,112733.35304170873,350035.5711021274,23719.94379079181,57617.03783379579,115947.2425730477,10500.12237669277,7455.9910393311,117595.07602805438,213958.21710423406,4131.627699656649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-25,1228615.378243259,116473.37121576746,351656.0011607444,24383.448900217518,57610.40034853551,108589.59613418554,10744.2560147612,7247.219679795447,119114.22935087436,203955.01714588178,4328.425172639194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-26,1228720.3426064837,123797.33538128361,359080.69252399926,23829.66372117316,60403.361398065535,101766.9586667408,10906.9694569509,7316.8856420119655,120682.85215928595,189915.24053742888,4328.371875830775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-27,1249689.4382905753,121556.45088001089,341401.6866650788,23164.27645520664,58544.79643197121,109265.81188970566,11151.041730948886,7456.597433600324,120699.03387579773,193908.11549574448,4328.497759927404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-28,1245012.0633279074,128222.06897164634,345806.2688073138,24052.20735372104,56683.052571360764,107347.03717220933,11558.162093013147,7665.367987088744,119163.32937573714,175868.97011669673,4328.371875830775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,1258510.1307949407,127517.11812015112,348746.8640192173,23607.99243074364,54820.81539570682,107389.30083858242,11639.586965132208,7386.395393481742,119115.1079886274,191244.1343675636,4328.371875830775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-04,1270502.2429652836,123026.27476723075,353205.2862916141,23941.731485151235,53897.18614865478,105543.16768129826,11639.381417291052,7456.655043088928,119134.59236541433,189239.39694679005,4525.284806374587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-05,1292099.195391899,127453.18415647598,356190.8643322003,23719.053717682073,53892.58548682628,108000.9085867889,11477.11069871697,7665.057892045882,119134.59236541433,184555.27207286775,4328.549029339241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-06,1308509.9262822494,128961.92184519286,356248.6488939228,23940.072345833058,54825.024541581806,109910.34003223873,11802.287921147576,7316.9196799609235,123796.39290017236,165158.90481060403,4525.15319811285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
