,nav,cash,SH600718_P,SZ002603_P,SH600640_P,SH600062_P,SZ300413_P,SH600126_P,SH600801_P,SH600770_P,SZ000718_P,SH600458_P,SZ002603_A,SZ000158_A,SZ002051_A,SH600525_A,SZ002583_A,SH600258_A,SZ002385_A,SH600240_A,SH600718_A,SH600183_A,SH601200_A,SZ002489_A,SZ000008_A,SH603806_A,SZ002589_A,SZ000877_A,SH603659_A,SH601020_A,SH601128_A,SZ002127_A,SZ002244_A,SZ000541_A,SH603233_A,SH600639_A,SH601179_A,SH600151_A,SZ000636_A,SH600393_A,SH600062_A,SZ300413_A,SH600126_A,SH600801_A,SH600770_A,SZ000718_A,SH600458_A,SH600006_A,SZ002266_A,SH603056_A,SH600640_A,SZ002470_A,SZ000596_A,SH601966_A,SH601003_A,SH600380_A,SZ002506_A,SH601872_A,SH600970_A,SZ002191_A,SH600545_A,SZ002368_A
2019-01-30,987641.728822604,4669.343407574653,29602.13172517924,156395.62604282622,43865.94059866582,13920.669340932714,36218.44059229413,51165.5725601247,7985.410123915984,61171.74889898281,7609.736961154932,19615.588982299756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,976363.4905713211,4592.167224648763,30861.83911184284,154727.0669169455,43006.149323389865,14079.02337357477,36218.44059229413,50464.39175272657,8130.603620609024,61470.08207586039,7443.792541441273,19478.882073504763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,1007071.1839622942,4523.872922765154,30862.981599630508,151396.40338176693,43006.45524298642,14237.550259763844,37512.01990839911,50454.711521023695,7839.959639297859,61768.72222771118,7418.870176441123,19752.584899509857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-11,1030096.61467279,3249.7172159732613,30862.773040429594,151410.6296126852,43436.402884004856,14395.939373097819,37513.680854309954,50697.9976259612,7985.144240391926,60873.69117329787,7349.411627319919,19614.87051190231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-12,1034459.3050259055,37.30734375765367,30862.315378729298,153106.4261946236,43867.81286487195,13920.412084814103,37510.08736581613,51405.41154632345,8130.381283035587,60873.72365439547,7444.2427450917885,19614.006171955854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-13,1064892.2216391063,7254.791357251468,30862.315378729298,153106.4261946236,43865.13664150681,13762.805631970128,37510.08736581613,51868.37838046729,8130.381283035587,60873.72365439547,7444.2427450917885,18380.805479607512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-14,1069610.1972586557,2544.17023348074,31176.74246003434,156427.0005636421,43433.77532688136,13762.024460012595,38799.62007219091,52339.909093017,8130.381283035587,60873.92936881854,7467.9466443775245,17968.88649029243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-15,1065557.4746576778,2195.7634421133016,31493.133948840317,158093.30314884504,43433.77532688136,13763.320838748952,37511.78641440837,52584.434746927196,8275.573523325522,60575.70013935467,7586.073492221176,17694.52630537611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-18,1094973.8361165095,4784.908198974913,31493.06892035277,159717.59938343702,43865.254703299484,13763.320838748952,37510.26449348268,52584.434746927196,8275.573523325522,58487.05973753221,7702.52839114402,17282.525498097184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-19,1086313.7709700945,1707.7797833712066,31492.182195048357,158080.49448396865,43436.57268411868,13605.006290299738,36213.920917878895,53762.343389561276,8566.106436662325,58188.61497328866,7749.928565858752,17968.78071576862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
